point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
1588,-123.1868108,48.49259172,64,485958.5416,5371096.821,486958.5416,5370096.821
1589,-123.180078,48.49259172,64,485958.5416,5371096.821,486958.5416,5370096.821
1372,-123.1868108,48.47909204,65,485958.5416,5370096.821,486958.5416,5369096.821
1373,-123.180078,48.47909204,65,485958.5416,5370096.821,486958.5416,5369096.821
1444,-123.1868108,48.48359193,65,485958.5416,5370096.821,486958.5416,5369096.821
1445,-123.180078,48.48359193,65,485958.5416,5370096.821,486958.5416,5369096.821
1228,-123.1868108,48.47009226,66,485958.5416,5369096.821,486958.5416,5368096.821
1229,-123.180078,48.47009226,66,485958.5416,5369096.821,486958.5416,5368096.821
1300,-123.1868108,48.47459215,66,485958.5416,5369096.821,486958.5416,5368096.821
1301,-123.180078,48.47459215,66,485958.5416,5369096.821,486958.5416,5368096.821
1084,-123.1868108,48.46109247,67,485958.5416,5368096.821,486958.5416,5367096.821
1085,-123.180078,48.46109247,67,485958.5416,5368096.821,486958.5416,5367096.821
1156,-123.1868108,48.46559236,67,485958.5416,5368096.821,486958.5416,5367096.821
1157,-123.180078,48.46559236,67,485958.5416,5368096.821,486958.5416,5367096.821
940,-123.1868108,48.45209268,68,485958.5416,5367096.821,486958.5416,5366096.821
941,-123.180078,48.45209268,68,485958.5416,5367096.821,486958.5416,5366096.821
1012,-123.1868108,48.45659258,68,485958.5416,5367096.821,486958.5416,5366096.821
1013,-123.180078,48.45659258,68,485958.5416,5367096.821,486958.5416,5366096.821
796,-123.1868108,48.4430929,69,485958.5416,5366096.821,486958.5416,5365096.821
797,-123.180078,48.4430929,69,485958.5416,5366096.821,486958.5416,5365096.821
868,-123.1868108,48.44759279,69,485958.5416,5366096.821,486958.5416,5365096.821
869,-123.180078,48.44759279,69,485958.5416,5366096.821,486958.5416,5365096.821
652,-123.1868108,48.43409311,70,485958.5416,5365096.821,486958.5416,5364096.821
653,-123.180078,48.43409311,70,485958.5416,5365096.821,486958.5416,5364096.821
724,-123.1868108,48.438593,70,485958.5416,5365096.821,486958.5416,5364096.821
725,-123.180078,48.438593,70,485958.5416,5365096.821,486958.5416,5364096.821
508,-123.1868108,48.42509333,71,485958.5416,5364096.821,486958.5416,5363096.821
509,-123.180078,48.42509333,71,485958.5416,5364096.821,486958.5416,5363096.821
580,-123.1868108,48.42959322,71,485958.5416,5364096.821,486958.5416,5363096.821
581,-123.180078,48.42959322,71,485958.5416,5364096.821,486958.5416,5363096.821
364,-123.1868108,48.41609354,72,485958.5416,5363096.821,486958.5416,5362096.821
365,-123.180078,48.41609354,72,485958.5416,5363096.821,486958.5416,5362096.821
436,-123.1868108,48.42059343,72,485958.5416,5363096.821,486958.5416,5362096.821
437,-123.180078,48.42059343,72,485958.5416,5363096.821,486958.5416,5362096.821
220,-123.1868108,48.40709375,73,485958.5416,5362096.821,486958.5416,5361096.821
221,-123.180078,48.40709375,73,485958.5416,5362096.821,486958.5416,5361096.821
292,-123.1868108,48.41159365,73,485958.5416,5362096.821,486958.5416,5361096.821
293,-123.180078,48.41159365,73,485958.5416,5362096.821,486958.5416,5361096.821
76,-123.1868108,48.39809397,74,485958.5416,5361096.821,486958.5416,5360096.821
77,-123.180078,48.39809397,74,485958.5416,5361096.821,486958.5416,5360096.821
148,-123.1868108,48.40259386,74,485958.5416,5361096.821,486958.5416,5360096.821
149,-123.180078,48.40259386,74,485958.5416,5361096.821,486958.5416,5360096.821
5262,-123.1733451,48.72208626,75,486958.5416,5397096.821,487958.5416,5396096.821
5263,-123.1666123,48.72208626,75,486958.5416,5397096.821,487958.5416,5396096.821
5334,-123.1733451,48.72658616,75,486958.5416,5397096.821,487958.5416,5396096.821
5335,-123.1666123,48.72658616,75,486958.5416,5397096.821,487958.5416,5396096.821
5118,-123.1733451,48.71308648,76,486958.5416,5396096.821,487958.5416,5395096.821
5119,-123.1666123,48.71308648,76,486958.5416,5396096.821,487958.5416,5395096.821
5190,-123.1733451,48.71758637,76,486958.5416,5396096.821,487958.5416,5395096.821
5191,-123.1666123,48.71758637,76,486958.5416,5396096.821,487958.5416,5395096.821
4974,-123.1733451,48.70408669,77,486958.5416,5395096.821,487958.5416,5394096.821
4975,-123.1666123,48.70408669,77,486958.5416,5395096.821,487958.5416,5394096.821
5046,-123.1733451,48.70858658,77,486958.5416,5395096.821,487958.5416,5394096.821
5047,-123.1666123,48.70858658,77,486958.5416,5395096.821,487958.5416,5394096.821
