id,left,top,right,bottom,name,length
905,508958.541599999996834,5381096.820999999530613,509958.541599999996834,5380096.821000000461936,,
906,508958.541599999996834,5380096.821000000461936,509958.541599999996834,5379096.821000000461936,,
907,508958.541599999996834,5379096.821000000461936,509958.541599999996834,5378096.821000000461936,,
908,508958.541599999996834,5378096.821000000461936,509958.541599999996834,5377096.820999999530613,,
909,508958.541599999996834,5377096.820999999530613,509958.541599999996834,5376096.821000000461936,,
910,508958.541599999996834,5376096.821000000461936,509958.541599999996834,5375096.821000000461936,,
911,508958.541599999996834,5375096.821000000461936,509958.541599999996834,5374096.821000000461936,,
912,508958.541599999996834,5374096.821000000461936,509958.541599999996834,5373096.820999999530613,,
913,508958.541599999996834,5373096.820999999530613,509958.541599999996834,5372096.821000000461936,,
914,508958.541599999996834,5372096.821000000461936,509958.541599999996834,5371096.821000000461936,,
915,508958.541599999996834,5371096.821000000461936,509958.541599999996834,5370096.821000000461936,,
916,508958.541599999996834,5370096.821000000461936,509958.541599999996834,5369096.820999999530613,,
917,508958.541599999996834,5369096.820999999530613,509958.541599999996834,5368096.821000000461936,,
918,508958.541599999996834,5368096.821000000461936,509958.541599999996834,5367096.821000000461936,,
919,508958.541599999996834,5367096.821000000461936,509958.541599999996834,5366096.821000000461936,,
920,508958.541599999996834,5366096.821000000461936,509958.541599999996834,5365096.820999999530613,,
921,508958.541599999996834,5365096.820999999530613,509958.541599999996834,5364096.821000000461936,,
922,508958.541599999996834,5364096.821000000461936,509958.541599999996834,5363096.821000000461936,,
923,508958.541599999996834,5363096.821000000461936,509958.541599999996834,5362096.821000000461936,,
924,508958.541599999996834,5362096.821000000461936,509958.541599999996834,5361096.820999999530613,,
925,508958.541599999996834,5361096.820999999530613,509958.541599999996834,5360096.821000000461936,,
926,509958.541599999996834,5397096.820999999530613,510958.541599999996834,5396096.821000000461936,,
927,509958.541599999996834,5396096.821000000461936,510958.541599999996834,5395096.821000000461936,,
928,509958.541599999996834,5395096.821000000461936,510958.541599999996834,5394096.821000000461936,,
929,509958.541599999996834,5394096.821000000461936,510958.541599999996834,5393096.820999999530613,,
930,509958.541599999996834,5393096.820999999530613,510958.541599999996834,5392096.821000000461936,,
931,509958.541599999996834,5392096.821000000461936,510958.541599999996834,5391096.821000000461936,,
932,509958.541599999996834,5391096.821000000461936,510958.541599999996834,5390096.821000000461936,,
933,509958.541599999996834,5390096.821000000461936,510958.541599999996834,5389096.820999999530613,,
934,509958.541599999996834,5389096.820999999530613,510958.541599999996834,5388096.821000000461936,,
935,509958.541599999996834,5388096.821000000461936,510958.541599999996834,5387096.821000000461936,,
936,509958.541599999996834,5387096.821000000461936,510958.541599999996834,5386096.821000000461936,,
937,509958.541599999996834,5386096.821000000461936,510958.541599999996834,5385096.820999999530613,,
938,509958.541599999996834,5385096.820999999530613,510958.541599999996834,5384096.821000000461936,,
939,509958.541599999996834,5384096.821000000461936,510958.541599999996834,5383096.821000000461936,,
940,509958.541599999996834,5383096.821000000461936,510958.541599999996834,5382096.821000000461936,,
941,509958.541599999996834,5382096.821000000461936,510958.541599999996834,5381096.820999999530613,,
942,509958.541599999996834,5381096.820999999530613,510958.541599999996834,5380096.821000000461936,,
943,509958.541599999996834,5380096.821000000461936,510958.541599999996834,5379096.821000000461936,,
944,509958.541599999996834,5379096.821000000461936,510958.541599999996834,5378096.821000000461936,,
945,509958.541599999996834,5378096.821000000461936,510958.541599999996834,5377096.820999999530613,,
946,509958.541599999996834,5377096.820999999530613,510958.541599999996834,5376096.821000000461936,,
947,509958.541599999996834,5376096.821000000461936,510958.541599999996834,5375096.821000000461936,,
948,509958.541599999996834,5375096.821000000461936,510958.541599999996834,5374096.821000000461936,,
949,509958.541599999996834,5374096.821000000461936,510958.541599999996834,5373096.820999999530613,,
