grid_id,left_bound,top_bound,right_bound,bottom_bound,latitude,longitude,lat_deg,long_deg,name,number,Direction,length(m),EW Joined layer_left,EW Joined layer_top,EW Joined layer_right,EW Joined layer_bottom,EW Joined layer_latitude,EW Joined layer_longitude,EW Joined layer_lat_deg,EW Joined layer_long_deg,EW Joined_name,EW Joined layer_number,EW Joined layer_Direction,EW Joined_length(m)
89,486958.5416,5383096.821,487958.5416,5382096.821,5382597,487459,48.596326,-123.170096,,,,,486958.5416,5383096.821,487958.5416,5382096.821,5382597,487459,48.596326,-123.170096,Mosquito Pass,60,EW,492.2638
90,486958.5416,5382096.821,487958.5416,5381096.821,5381597,487459,48.58733,-123.170066,,,,,486958.5416,5382096.821,487958.5416,5381096.821,5381597,487459,48.58733,-123.170066,Mosquito Passage,63,EW,563.0754
91,486958.5416,5381096.821,487958.5416,5380096.821,5380597,487459,48.578334,-123.170035,,,,,486958.5416,5381096.821,487958.5416,5380096.821,5380597,487459,48.578334,-123.170035,,,,
92,486958.5416,5380096.821,487958.5416,5379096.821,5379597,487459,48.569337,-123.170005,,,,,486958.5416,5380096.821,487958.5416,5379096.821,5379597,487459,48.569337,-123.170005,,,,
93,486958.5416,5379096.821,487958.5416,5378096.821,5378597,487459,48.560341,-123.169975,,,,,486958.5416,5379096.821,487958.5416,5378096.821,5378597,487459,48.560341,-123.169975,,,,
94,486958.5416,5378096.821,487958.5416,5377096.821,5377597,487459,48.551345,-123.169945,Haro Strait,63,NS,43510.5331,486958.5416,5378096.821,487958.5416,5377096.821,5377597,487459,48.551345,-123.169945,Haro Strait,68,EW,14558.3196
95,486958.5416,5377096.821,487958.5416,5376096.821,5376597,487459,48.542349,-123.169915,Haro Strait,63,NS,43510.5331,486958.5416,5377096.821,487958.5416,5376096.821,5376597,487459,48.542349,-123.169915,Haro Strait,69,EW,14973.6448
96,486958.5416,5376096.821,487958.5416,5375096.821,5375597,487459,48.533352,-123.169885,Haro Strait,63,NS,43510.5331,486958.5416,5376096.821,487958.5416,5375096.821,5375597,487459,48.533352,-123.169885,Haro Strait,70,EW,14940.5461
97,486958.5416,5375096.821,487958.5416,5374096.821,5374597,487459,48.524356,-123.169855,Haro Strait,63,NS,43510.5331,486958.5416,5375096.821,487958.5416,5374096.821,5374597,487459,48.524356,-123.169855,Haro Strait,71,EW,15355.3347
98,486958.5416,5374096.821,487958.5416,5373096.821,5373597,487459,48.51536,-123.169825,Haro Strait,63,NS,43510.5331,486958.5416,5374096.821,487958.5416,5373096.821,5373597,487459,48.51536,-123.169825,Haro Strait,72,EW,15839.2669
99,486958.5416,5373096.821,487958.5416,5372096.821,5372597,487459,48.506363,-123.169794,Haro Strait,63,NS,43510.5331,486958.5416,5373096.821,487958.5416,5372096.821,5372597,487459,48.506363,-123.169794,Haro Strait,73,EW,15242.6105
