Date_Time (LST/LDT), Event, Speed (knots)
2020-04-08 16:37, flood,0.9
2020-04-08 19:28, slack,-
2020-04-08 21:16, ebb,-0.5
2020-04-09 00:30, slack,-
2020-04-09 04:49, flood,0.8
2020-04-09 07:22, slack,-
2020-04-09 09:10, ebb,-0.6
2020-04-09 12:36, slack,-
2020-04-09 17:31, flood,1.0
2020-04-09 20:28, slack,-
2020-04-09 22:16, ebb,-0.5
2020-04-10 01:30, slack,-
2020-04-10 05:43, flood,0.7
2020-04-10 08:04, slack,-
2020-04-10 09:58, ebb,-0.6
2020-04-10 13:24, slack,-
2020-04-10 18:19, flood,1.0
2020-04-10 21:28, slack,-
2020-04-10 23:16, ebb,-0.5
2020-04-11 02:30, slack,-
2020-04-11 06:31, flood,0.5
2020-04-11 08:40, slack,-
2020-04-11 10:46, ebb,-0.6
2020-04-11 14:12, slack,-
2020-04-11 19:13, flood,1.0
2020-04-11 22:28, slack,-
2020-04-12 00:22, ebb,-0.4
2020-04-12 03:36, slack,-
2020-04-12 07:25, flood,0.4
2020-04-12 09:22, slack,-
2020-04-12 11:40, ebb,-0.5
2020-04-12 15:00, slack,-
2020-04-12 20:13, flood,1.0
2020-04-12 23:34, slack,-
2020-04-13 01:28, ebb,-0.4
2020-04-13 04:48, slack,-
2020-04-13 08:19, flood,0.2
2020-04-13 10:04, slack,-
2020-04-13 12:34, ebb,-0.5
2020-04-13 16:00, slack,-
2020-04-13 21:13, flood,0.9
2020-04-14 00:40, slack,-
2020-04-14 02:34, ebb,-0.4
2020-04-14 06:18, slack,-
